WshedID,BASINID,DiversionID,AreaM2,CellCount,RainMeanMM,RainSumMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E,Wshed_Name,Lease_ID,IIFS,Private_ID,Taro_ID,dVolume
11,50,3,28000,280,5973,1672450,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
11,51,3,25100,251,5971,1498660,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
11,52,3,270100,2701,6124,16541500,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
11,53,3,225300,2253,6270,14126300,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
11,54,3,3824000,38240,5142,196649000,0.908,2480,16,0,718,0,8,0,9,2480,16,0,718,0,8,0,9,Waiokamilo,Keanae,Yes,,Yes,0
12,55,11,2704600,27046,4543,122881000,6.531,1961,2584,122,2710,996,2720,108,2040,1961,2584,122,2710,996,2720,108,2040,Piinaau,Keanae,Yes,,Yes,0
12,56,13,3586200,35862,6256,224361000,6.066,1409,714,0,1691,0,635,0,437,1409,714,0,1691,0,635,0,437,Piinaau,Keanae,Yes,,Yes,0
12,57,12,1112400,11124,4354,48438800,8.37,1543,1751,13,1986,558,2021,11,1482,1543,1751,13,1986,558,2021,11,1482,Piinaau,Keanae,Yes,,Yes,0
12,58,13,1753500,17535,6355,111429000,2.939,2566,845,0,2488,0,610,0,545,2566,845,0,2488,0,610,0,545,Piinaau,Keanae,Yes,,Yes,0
12,59,3,46700,467,6999,3268660,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Piinaau,Keanae,Yes,,Yes,0
12,60,3,60700,607,6993,4244540,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Piinaau,Keanae,Yes,,Yes,0
12,61,3,152300,1523,6994,10652000,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Piinaau,Keanae,Yes,,Yes,0
12,62,3,946600,9466,6916,65463900,0.719,2683,0,0,176,0,0,0,0,2683,0,0,176,0,0,0,0,Piinaau,Keanae,Yes,,Yes,0
12,63,3,3045900,30459,5893,179508000,0.979,2593,0,0,379,0,0,0,2,2593,0,0,379,0,0,0,2,Piinaau,Keanae,Yes,,Yes,0
12,64,3,36326400,363264,3110,1129760000,7.054,9904,0,0,211,0,0,0,0,9904,0,0,211,0,0,0,0,Piinaau,Keanae,Yes,,Yes,0
13,65,11,2638800,26388,4746,125230000,5.918,1613,1060,72,1445,131,796,14,857,1613,1060,72,1445,131,796,14,857,Nuaailua,Honomanu,No,,No,0
13,66,8,14500,145,5737,831886,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuaailua,Honomanu,No,,No,0
13,67,8,41500,415,5849,2427240,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuaailua,Honomanu,No,,No,0
13,68,8,42200,422,6227,2627590,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuaailua,Honomanu,No,,No,0
13,69,8,100700,1007,6069,6111750,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuaailua,Honomanu,No,,No,0
13,70,8,254000,2540,6543,16618600,0.123,839,0,0,267,0,0,0,8,839,0,0,267,0,0,0,8,Nuaailua,Honomanu,No,,No,0
14,71,11,2777700,27777,4984,138433000,5.456,2450,1667,189,2337,445,940,152,1191,2450,1667,189,2337,445,940,152,1191,Honomanu,Honomanu,No,,No,0
14,72,3,78900,789,5461,4308660,0.027,594,18,0,290,0,11,0,5,594,18,0,290,0,11,0,5,Honomanu,Honomanu,No,,No,0
14,73,8,21500,215,6070,1304970,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honomanu,Honomanu,No,,No,0
14,74,8,287400,2874,6852,19692800,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honomanu,Honomanu,No,,No,0
14,75,8,466800,4668,6423,29983900,0.251,1014,0,0,304,0,0,0,0,1014,0,0,304,0,0,0,0,Honomanu,Honomanu,No,,No,0
14,76,8,763000,7630,6774,51683100,0.39,1852,0,0,201,0,0,0,0,1852,0,0,201,0,0,0,0,Honomanu,Honomanu,No,,No,0
14,77,8,1472200,14722,6375,93849800,0.572,2474,0,0,404,0,0,0,0,2474,0,0,404,0,0,0,0,Honomanu,Honomanu,No,,No,0
14,78,8,7961600,79616,4144,329928000,1.255,2091,0,0,369,0,0,0,0,2091,0,0,369,0,0,0,0,Honomanu,Honomanu,No,,No,0
15,79,11,440200,4402,4204,18504900,0.738,416,454,53,898,64,344,16,301,416,454,53,898,64,344,16,301,Punalau,Honomanu,No,,No,0
15,80,6,24300,243,4411,1071990,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punalau,Honomanu,No,,No,0
15,81,6,59800,598,4553,2722790,0.023,4,1,0,7,0,1,0,1,4,1,0,7,0,1,0,1,Punalau,Honomanu,No,,No,0
15,82,6,338800,3388,4690,15891300,0.366,455,106,0,518,0,83,0,48,455,106,0,518,0,83,0,48,Punalau,Honomanu,No,,No,0
15,83,3,16700,167,4814,803989,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punalau,Honomanu,No,,No,0
15,84,3,272300,2723,5111,13916100,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punalau,Honomanu,No,,No,0
15,85,3,295700,2957,5264,15566400,0.195,542,39,0,398,0,27,0,12,542,39,0,398,0,27,0,12,Punalau,Honomanu,No,,No,0
15,86,8,23500,235,5559,1306320,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punalau,Honomanu,No,,No,0
15,87,8,45800,458,5838,2673690,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punalau,Honomanu,No,,No,0
15,88,8,125300,1253,5833,7308220,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punalau,Honomanu,No,,No,0
15,89,8,574800,5748,6080,34946300,0.37,1048,6,0,458,0,4,0,9,1048,6,0,458,0,4,0,9,Punalau,Honomanu,No,,No,0
16,90,11,563000,5630,3806,21429700,1.081,1199,80,0,746,0,228,0,79,1199,80,0,746,0,228,0,79,Haipuaena,Honomanu,No,,No,0
16,91,6,276000,2760,4538,12525700,0.249,980,34,0,388,0,45,0,25,980,34,0,388,0,45,0,25,Haipuaena,Honomanu,No,,No,0
16,92,3,168300,1683,4911,8265900,0.093,679,2,0,159,0,8,0,2,679,2,0,159,0,8,0,2,Haipuaena,Honomanu,No,,No,0
16,93,8,3115600,31156,5589,174137000,0.861,4217,0,0,442,0,4,0,0,4217,0,0,442,0,4,0,0,Haipuaena,Honomanu,No,,No,0
17,94,11,709100,7091,3870,27439200,1.563,707,774,26,1462,114,919,6,618,707,774,26,1462,114,919,6,618,Puohokamoa,Huelo,No,,No,0
17,95,6,272700,2727,4445,12122100,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puohokamoa,Huelo,No,,No,0
17,96,8,28100,281,4550,1278600,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puohokamoa,Huelo,No,,No,0
17,97,8,162900,1629,4747,7733500,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puohokamoa,Huelo,No,,No,0
17,98,8,110200,1102,4865,5361440,0.042,13,1,0,8,0,1,0,0,13,1,0,8,0,1,0,0,Puohokamoa,Huelo,No,,No,0
17,99,6,348800,3488,4540,15835600,0.313,815,294,0,1021,0,218,0,147,815,294,0,1021,0,218,0,147,Puohokamoa,Huelo,No,,No,0
17,100,8,24500,245,4758,1165750,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puohokamoa,Huelo,No,,No,0
17,101,3,9600,96,4777,458600,0.001,17,3,0,12,0,2,0,2,17,3,0,12,0,2,0,2,Puohokamoa,Huelo,No,,No,0
17,102,8,6420500,64205,5921,380163000,3.553,8974,112,0,2640,0,104,0,47,8974,112,0,2640,0,104,0,47,Puohokamoa,Huelo,No,,No,0
18,103,11,786500,7865,3762,29588900,1.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wahinepee,Huelo,No,,No,0
18,104,6,17800,178,4072,724738,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wahinepee,Huelo,No,,No,0
18,105,6,31600,316,4198,1326600,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wahinepee,Huelo,No,,No,0
18,106,6,83700,837,4315,3611990,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wahinepee,Huelo,No,,No,0
18,107,6,121800,1218,4281,5214020,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wahinepee,Huelo,No,,No,0
19,108,11,311900,3119,3565,11119100,0.459,332,161,0,555,0,306,0,120,332,161,0,555,0,306,0,120,Waikamoi,Huelo,No,,No,0
19,109,1,418800,4188,4302,18016300,0.453,801,217,0,1167,0,193,0,113,801,217,0,1167,0,193,0,113,Waikamoi,Huelo,No,,No,0
19,110,8,33100,331,4562,1510180,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waikamoi,Huelo,No,,No,0
19,111,8,119900,1199,4698,5632480,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waikamoi,Huelo,No,,No,0
19,112,7,6800,68,4543,308914,0.001,31,3,0,20,0,2,0,2,31,3,0,20,0,2,0,2,Waikamoi,Huelo,No,,No,0
19,113,8,100300,1003,4555,4568290,0.04,253,37,0,213,0,34,0,23,253,37,0,213,0,34,0,23,Waikamoi,Huelo,No,,No,0
19,114,9,1228800,12288,5444,66890100,1.116,1977,27,0,837,0,26,0,17,1977,27,0,837,0,26,0,17,Waikamoi,Huelo,No,,No,0
19,115,9,10039900,100399,3065,307744000,0.888,2893,21,0,800,0,20,0,16,2893,21,0,800,0,20,0,16,Waikamoi,Huelo,No,,No,0
20,116,11,477300,4773,3424,16341400,0.963,297,163,0,524,0,250,0,117,297,163,0,524,0,250,0,117,Kolea,Huelo,No,,No,0
20,117,1,29800,298,3823,1139160,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kolea,Huelo,No,,No,0
20,118,1,31900,319,3891,1241070,0.013,4,2,0,8,0,1,0,1,4,2,0,8,0,1,0,1,Kolea,Huelo,No,,No,0
20,119,1,22200,222,3861,857195,0.009,32,14,0,65,0,12,0,7,32,14,0,65,0,12,0,7,Kolea,Huelo,No,,No,0
20,120,10,572600,5726,4250,24332800,0.737,430,121,0,575,0,89,0,65,430,121,0,575,0,89,0,65,Kolea,Huelo,No,,No,0
20,121,7,6900,69,4461,307819,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kolea,Huelo,No,,No,0
20,122,7,22000,220,4526,995797,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kolea,Huelo,No,,No,0
20,123,9,177900,1779,4734,8421580,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kolea,Huelo,No,,No,0
20,124,9,269500,2695,4698,12660800,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kolea,Huelo,No,,No,0
20,125,9,6000,60,4628,277691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kolea,Huelo,No,,No,0
21,126,11,196100,1961,3234,6341830,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punaluu,Huelo,No,,No,0
21,127,1,320200,3202,3911,12522900,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Punaluu,Huelo,No,,No,0
22,128,11,252500,2525,3236,8170630,0.341,383,127,0,524,1,127,0,68,383,127,0,524,1,127,0,68,Kaaiea,Huelo,No,,No,0
22,129,1,168700,1687,3878,6541780,0.14,366,93,0,550,0,43,0,34,366,93,0,550,0,43,0,34,Kaaiea,Huelo,No,,No,0
22,130,8,190500,1905,4285,8162170,0.127,452,55,0,346,0,25,0,22,452,55,0,346,0,25,0,22,Kaaiea,Huelo,No,,No,0
22,131,7,11300,113,4479,506133,0.001,61,4,0,33,0,2,0,2,61,4,0,33,0,2,0,2,Kaaiea,Huelo,No,,No,0
22,132,9,2088000,20880,5596,116840000,0.968,3125,18,0,766,0,7,0,3,3125,18,0,766,0,7,0,3,Kaaiea,Huelo,No,,No,0
